CLONE;FRY.gebvs;FRY.gegvs;AGY.gebvs;AGY.gegvs;PLH.gebvs;PLH.gegvs;DMC.gebvs;DMC.gegvs;DRY.gebvs;DRY.gegvs
1;962409;19.3198911687569;27.33995186323;27.2880266249648;29.2718399983166;2.03662993096296;2.04351904970976;35.7143366681433;36.0004258237078;6.04404112218216;8.5829678000993
2;BGM0004;18.1651254351642;16.3167031028869;23.8592803544744;24.4079450033251;1.84588748460061;1.82765303358562;34.8406710710657;34.9185018042114;5.55882679414943;5.21715198611584
3;BGM0005;17.0151826616788;10.3404448316723;18.316474499892;17.6524304957783;1.86070273027401;1.85471249048173;32.8513168939924;32.659038434331;5.03347381921875;3.18109663328066
4;BGM0019;17.2395609953459;15.437303590176;18.4149543048746;18.1621747829957;2.05131778103294;2.05140406707091;34.1484348011816;34.3608766357262;5.17979688187015;4.773987702421
5;BGM0020;18.1247182795006;20.0780685762562;17.3638815544328;16.9614883829172;1.824342132693;1.81829151122108;32.8725989024483;33.2535022607419;5.41611942990347;5.85513313642112
6;BGM0021;17.7202530472477;19.8286771187219;21.8120042643739;23.698134030182;2.13260523997289;2.17114403607281;35.3566176563658;36.1563669051809;5.35436421889193;6.24371326741895
7;BGM0022;18.366916479216;16.6441958178479;17.6215808159617;16.3029346726056;1.80591777257109;1.78477038245948;33.7273585827262;33.4145155738025;5.58661424967789;5.08656536943376
8;BGM0024;17.9865988266608;16.7727024342142;20.4767227282331;20.8464406940757;1.8720150958779;1.85789859202792;34.6621669878859;35.0004406075109;5.43061038260885;5.13636481550935
9;BGM0029;18.8059576360857;19.4573754517789;25.4469641831313;26.566326938264;1.95412869163257;1.93753079983734;33.7048348261608;33.6452922100981;5.74755988571834;5.90397694793756
10;BGM0030;18.289513486864;18.9702967651146;23.052601086993;23.056997744671;1.80132249207509;1.77192135179401;34.0656190261702;34.025270600574;5.56137711683464;5.66455871100583
11;BGM0032;17.2309643663028;15.4440021643695;18.9090610631149;18.5733386236199;1.90638168680449;1.8978148896717;31.9307162146385;31.6570467743103;5.13560757818547;4.61807490236686
12;BGM0036;18.2794440454718;18.0461739829464;21.7025142117847;21.7415619763148;1.98668023476423;1.99050912052967;35.82016117719;36.1172233088737;5.63744794483656;5.80206539964232
13;BGM0037;18.0048914187742;18.2528369563084;18.4784420695733;18.1070806696715;1.82108079006094;1.81601171037779;34.2963769459997;34.7649581770489;5.44031383211369;5.62339491422065
14;BGM0044;19.4284534848762;22.2138813305306;23.8374683098781;23.8764184123949;1.99440606209254;1.98698603839406;34.4171063318357;34.2127004863036;5.98289384809359;6.61835169278522
15;BGM0046;19.5186172778556;26.8877623017436;22.8958128007354;23.676989606963;2.17345522596457;2.19885603680959;34.720380678433;34.8589329509009;6.05842816463123;8.15136477008851
16;BGM0048;19.0501849176071;21.3426350036556;22.9186959878167;22.5355138804054;2.13841445761642;2.135694967753;34.9861547375259;35.1009663797424;5.85961728281512;6.51505987280111
17;BGM0050;18.7624883016055;24.3872650458668;21.489465590984;21.5594646269856;1.88331969319796;1.87791445733316;34.2896935121925;34.201067971912;5.75441703758398;7.19135835821148
18;BGM0052;18.8099240072742;20.3665380059241;20.9897408401973;20.0243803770706;1.95753004220632;1.95118440674223;33.7143514822995;33.5717531854298;5.72331204578817;5.87994682649851
19;BGM0054;17.4068744419995;14.2845006590401;20.3857019799845;20.272460972312;1.86937240598418;1.85329129185104;32.2016987737454;31.7401604353742;5.2253920379686;4.3320651025947
20;BGM0056;18.781446682571;24.3019975466599;21.5856795815554;21.6808652530993;1.90105767021272;1.89557643400195;34.4270422867678;34.3247543578202;5.76575976874085;7.18471261221769
21;BGM0061;17.4922804918194;14.3476137000451;19.1699571511855;19.0238234690723;2.03373873283518;2.05065434345662;35.4233758218665;35.5387272192202;5.30800741076682;4.51072385954214
22;BGM0062;17.3402138660875;14.3942290099922;15.2397789206033;13.833954778694;1.80729807411339;1.7894356963776;30.7343612136703;29.9178094606286;5.07320263329649;3.89844944397173
23;BGM0065;18.307465647025;16.8692037153936;20.5142802929588;18.7988404951696;1.81471375269649;1.78881806124765;32.7069898783416;32.0882203669691;5.5469746996345;4.94263608852365
24;BGM0067;17.0156081229138;14.0750042960877;16.9565116674062;15.7262352183693;1.95693799373439;1.9590762242533;30.4216581800152;29.6037963894047;5.02588415764879;3.91469088251489
