CLONE;FRY.gebvs;FRY.gegvs;AGY.gebvs;AGY.gegvs;PLH.gebvs;PLH.gegvs;DMC.gebvs;DMC.gegvs;DRY.gebvs;DRY.gegvs
1;962409;16.5979905607829;20.6855056737963;24.1729874319765;24.8561188699057;1.98010943747898;1.98231436176013;35.6759946119356;35.7732699910608;5.42442288737465;6.5002154768145
2;BGM0004;15.0018191829971;13.3677640819309;20.3944623766205;20.3272723042367;1.81405868459467;1.80252008403095;36.5026171481655;36.7483006795669;4.8685855246414;4.67774682891484
3;BGM0005;13.1699600862391;9.31184878180141;15.8566853475249;15.406378256851;1.83609812290126;1.83258148174634;34.8448893105142;35.0489239767634;3.7611904657972;2.46759193676611
4;BGM0019;13.0292687428967;11.2771372732207;17.1933364927299;17.1974884021427;2.02120152417029;2.02099459384186;35.1787874408619;35.3346413885314;3.99668414101205;3.62926562131918
5;BGM0020;15.2695026100292;17.6710335986741;15.460828419391;15.3379078409016;1.80367100316044;1.79892073191229;33.4786656580575;33.6089115803815;4.66798455529256;5.16551692170369
6;BGM0021;14.3010118583004;16.7438778496532;20.2181268191557;21.1823190907101;2.10152899444645;2.12436387152283;35.7919633756179;36.2247409134814;4.47437777658364;5.36779077508794
7;BGM0022;14.90101369591;12.3974553105152;15.3591343018803;14.7569776085168;1.78324062414445;1.7712297398931;34.8790856388628;34.8620860950312;4.66415446080265;4.05381529611817
8;BGM0024;14.6951786062442;14.1152151169659;19.0033669207021;19.3298232465702;1.83226558855028;1.82409999907647;34.533426076896;34.6905404755662;4.53199691600089;4.49301650632074
9;BGM0029;15.8698310056815;15.5567370012105;22.737239502198;23.0680794751291;1.92000788514377;1.90877093080622;33.861016367074;33.6945430124943;5.04606426189776;4.93367704568115
10;BGM0030;15.1284717515845;15.5066872838551;21.0309271828266;21.121928212158;1.76888142249474;1.75199402815626;34.180966210342;34.0693010584892;4.7941379680949;4.86423979858684
11;BGM0032;12.7940623990476;10.7768956498286;17.0319985201624;16.9107220861366;1.87352504542818;1.86819653619478;32.6177083460102;32.5282230833124;3.81475892368883;3.34062898117652
