CLONE;FRY;FRY.egv;FRY.wt;AGY;AGY.egv;AGY.wt;PLH;PLH.egv;PLH.wt;DMC;DMC.egv;DMC.wt;DRY;DRY.egv;DRY.wt
962409;962409;12.9741020923244;12.7575221360878;25.5960787415553;11.1295238510897;10.9510070150712;23.2643257477941;0.154116036944772;0.152438632473786;17.2967659059538;2.5915327862632;2.51207840296658;36.2339262866163;4.32287870378154;4.25021623410357;26.4271475782053
BGM0004;BGM0004;-4.61514636004915;-3.80183836344209;9.53776911964091;6.63514029772484;5.50125280527288;8.83876659122078;-0.103879698857156;-0.0914990555648974;8.15951360486839;3.19051613418763;2.25960871882896;9.31571330167612;-1.05945961968163;-0.871902832772248;9.82037434344377
BGM0005;BGM0005;-9.60067826081309;-7.7594693555193;8.87718041793172;-2.90818193196597;-2.36703542306124;8.23349670984033;-0.162224468929009;-0.141067801303299;7.68078990993012;-1.7827309111377;-1.22319769869124;8.55603789783113;-2.95199430978197;-2.3833290771898;9.13912256888409
BGM0019;BGM0019;-1.40133677102244;-1.15438503582332;9.53776911964091;-0.404225032693705;-0.335146507125144;8.83876659122078;0.134232590155035;0.11823441307916;8.15951360486839;2.20275992957581;1.56005339983147;9.31571330167612;-0.323103351070299;-0.265904166466539;9.82037434344377
BGM0020;BGM0020;3.0849893026353;2.58302590590937;10.172689959196;-3.68480306304378;-3.10368090141297;9.41967478102787;-0.175574868744524;-0.156353929937193;8.61251281148411;0.660386824705586;0.48054345847297;10.0567925824531;0.764098844608879;0.639193848301659;10.4753258426266
BGM0021;BGM0021;3.00482233678844;2.47529502730838;9.53776911964091;7.93477733786499;6.57879323276906;8.83876659122078;0.267856786098586;0.23593294189629;8.15951360486839;2.09793682214761;1.48581487618275;9.31571330167612;1.20216872961563;0.989348061360817;9.82037434344377
BGM0022;BGM0022;-3.96492467906564;-3.321913570472;10.1992008935786;-4.94892117337228;-4.17102331372377;9.44387187295997;-0.189679588854843;-0.169006363743413;8.6361462449653;-1.89403087081631;-1.37899950134282;10.0731058245879;-1.03553603912031;-0.866820216935375;10.5027935696992
BGM0024;BGM0024;-5.03171404002944;-4.14499605838078;9.53776911964091;0.950737113644363;0.788264449405316;8.83876659122078;-0.123973562908817;-0.109198082454691;8.15951360486839;0.835019960536777;0.591383432607383;9.31571330167612;-1.44842481458724;-1.19200928042518;9.82037434344377
BGM0029;BGM0029;0.863624213604714;0.711431319990673;9.53776911964091;10.3861824979436;8.61127467379707;8.83876659122078;-0.0747435959822461;-0.0658354665746962;8.15951360486839;-0.834086442358304;-0.590722290106751;9.31571330167612;0.303898512551257;0.250099172301007;9.82037434344377
BGM0030;BGM0030;1.26811746807833;1.04464241507607;9.53776911964091;0.103760033305349;0.0860283503714286;8.83876659122078;-0.282715088916945;-0.249020394884063;8.15951360486839;-0.916735430907461;-0.649256510675932;9.31571330167612;0.0947186399186815;0.077950540942986;9.82037434344377
BGM0032;BGM0032;4.52372248930899;3.57252287275776;8.17503955340455;1.7800954177151;1.416660589184;7.58862556065714;-0.1831874491603;-0.156817048276695;7.15992194571426;-0.1160866085207;-0.0766766313480191;7.76810570938046;1.41664976899544;1.1174760863526;8.41535842818627
BGM0036;BGM0036;4.53928057826175;3.739342091998;9.53776911964091;5.58396327996443;4.62971275362157;8.83876659122078;0.127199737736954;0.112039753667732;8.15951360486839;3.21369816756117;2.27602685386666;9.31571330167612;1.83750819958198;1.5122129949032;9.82037434344377
BGM0037;BGM0037;0.205568023490919;0.169341627986077;9.53776911964091;-4.25082877998157;-3.52439928943581;8.83876659122078;-0.158133131796642;-0.139286428167341;8.15951360486839;2.93450585258415;2.07829540145614;9.31571330167612;0.37818799789587;0.311237144446302;9.82037434344377
BGM0044;BGM0044;7.0457300730224;5.80409044487789;9.53776911964091;3.74616384317182;3.10597718006466;8.83876659122078;0.00965063303473267;0.00850044636243777;8.15951360486839;-0.396651551744498;-0.280919220265004;9.31571330167612;1.82824924627749;1.50459315978658;9.82037434344377
BGM0046;BGM0046;11.1922890324398;9.21991861116374;9.53776911964091;1.90434076229209;1.57890556803255;8.83876659122078;0.244748842439175;0.215579060973027;8.15951360486839;-0.647622260875463;-0.458663377847022;9.31571330167612;3.00654343047663;2.47429320116336;9.82037434344377
BGM0048;BGM0048;3.05909320661025;2.47242323381007;8.87718041793172;0.559587950562753;0.455461361182743;8.23349670984033;0.147039008508185;0.127862768009084;7.68078990993012;2.20790865051246;1.51492789144705;8.55603789783113;1.10612238284202;0.893041571666364;9.13912256888409
BGM0050;BGM0050;6.97932073273569;5.74938414568477;9.53776911964091;0.30997179277031;0.257000322226472;8.83876659122078;-0.0255136290556753;-0.0224728506947016;8.15951360486839;-0.520625034568228;-0.368720551118772;9.31571330167612;1.70480324406234;1.40300087913115;9.82037434344377
BGM0052;BGM0052;4.98808408915643;4.03147408767396;8.87718041793172;-3.67171733808045;-2.9884942572452;8.23349670984033;0.0353915437294149;0.0307759198818701;7.68078990993012;-0.985051133514196;-0.675880062481674;8.55603789783113;0.846902261736813;0.683757004289154;9.13912256888409
BGM0054;BGM0054;-5.54088586761865;-4.56640112549116;9.55364594040771;0.500789175464486;0.415379096483354;8.85307730968884;-0.282567362998532;-0.248972818769227;8.17258632064261;-4.96900627037632;-3.52087415641591;9.32807055937362;-1.73302983063427;-1.42685100724177;9.83687037534963
