L,Parce,CLONE,LOCATION,REP,Interacao,R,FRY,AGY,PLH,DMC,DRY
1,1,962409,1,1,9624091,1,39.5,18.47,1.93,36.9,12.73875
1,2,BGM0004,1,1,BGM00041,1,14.32,24.74,1.73,37.35,4.68264
1,3,BGM0005,1,1,BGM00051,1,11.29,18.23,2.08,34.55,3.37571
1,4,BGM0019,1,1,BGM00191,1,29.08,24.74,2.43,34.55,8.69492
1,5,BGM0020,1,1,BGM00201,1,20.05,12.15,2.17,36.9,6.466125
1,6,BGM0021,1,1,BGM00211,1,19.97,21.7,2.3,36.05,6.27058
1,7,BGM0022,1,1,BGM00221,1,20.42,18.23,1.45,37.28,6.663046
1,8,BGM0024,1,1,BGM00241,1,21.7,27.78,1.58,34,6.36895
1,9,BGM0029,1,1,BGM00291,1,53.47,76.16,2.03,35.27,16.372514
1,10,BGM0030,1,1,BGM00301,1,15.19,15.63,1.9,34.38,4.515987
1,11,BGM0036,1,1,BGM00361,1,12.96,23.77,2.08,38.53,4.390848
1,12,BGM0037,1,1,BGM00371,1,26.48,26.04,1.85,37.28,8.640424
1,13,BGM0044,1,1,BGM00441,1,56.72,47.8,1.77,34.9,17.1578
1,14,BGM0046,1,1,BGM00461,1,54.69,31.69,2.3,34.36,16.248399
1,15,BGM0048,1,1,BGM00481,1,29.08,29.52,2.2,30.68,7.569524
1,16,BGM0050,1,1,BGM00501,1,32.38,18.66,2.15,30.99,8.528892
1,17,BGM0052,1,1,BGM00521,1,61.11,30.28,2.37,31.42,16.359147
1,18,BGM0054,1,1,BGM00541,1,24.31,43.75,2.1,32.67,6.811662
1,19,BGM0056,1,1,BGM00561,1,27.55,16.2,2.07,34.04,8.096945
1,20,BGM0061,1,1,BGM00611,1,29.17,40.84,2.2,36.26,9.220637
1,21,BGM0062,1,1,BGM00621,1,16.49,1.65,1.82,31.13,4.366552
1,22,BGM0066,1,1,BGM00661,1,7.38,1.48,2.07,32.67,2.067876
1,23,BGM0067,1,1,BGM00671,1,24.31,2.26,1.87,30.46,6.274411
1,24,BGM0069,1,1,BGM00691,1,15.8,17.01,2.13,36.9,5.0955
1,25,BGM0073,1,1,BGM00731,1,26.91,2.69,1.97,38.1,9.001395
1,26,BGM0076,1,1,BGM00761,1,24.31,2.78,1.7,37.63,8.017438
1,27,BGM0080,1,1,BGM00801,1,52.26,4.38,2.03,36.17,16.472352
1,28,BGM0084,1,1,BGM00841,1,7.78,1.78,1.98,35.79,2.422692
1,29,BGM0087,1,1,BGM00871,1,31.69,8.07,2.07,33.88,9.262987
1,30,BGM0088,1,1,BGM00881,1,34.03,29.17,2.25,37.5,11.178855
1,31,BGM0090,1,1,BGM00901,1,29.98,3.4,1.9,34.55,8.96402
1,32,BGM0091,1,1,BGM00911,1,42.13,5.19,2.32,33.25,12.04918
1,33,BGM0096,1,1,BGM00961,1,48.61,58.34,2.15,30.68,12.653183
1,34,BGM0116,1,1,BGM01161,1,37.53,21.39,1.97,36.5,11.953305
1,35,BGM0119,1,1,BGM01191,1,14.58,24.31,1.8,40.63,5.245884
1,36,BGM0123,1,1,BGM01231,1,38.89,29.17,2.15,32.26,10.737529
1,37,BGM0124,1,1,BGM01241,1,26.47,1.62,1.65,32.67,7.416894
1,38,BGM0126,1,1,BGM01261,1,16.41,1.7,1.43,34.1,4.832745
1,39,BGM0130,1,1,BGM01301,1,24.31,36.46,1.95,32.98,6.887023
1,40,BGM0132,1,1,BGM01321,1,26.04,2,2.1,34.74,7.835436
1,41,BGM0134,1,1,BGM01341,1,9.72,14.58,2.12,37.28,3.171636
1,42,BGM0137,1,1,BGM01371,1,9.12,8.51,1.32,34.55,2.72688
1,43,BGM0145,1,1,BGM01451,1,10.16,3.3,2.23,31.71,2.749296
1,44,BGM0150,1,1,BGM01501,1,23,1.74,1.53,35.75,7.153
1,45,BGM0151,1,1,BGM01511,1,23.77,26.47,1.73,35.66,7.371077
1,46,BGM0155,1,1,BGM01551,1,36.11,25.7,1.9,37.97,12.031852
1,47,BGM0156,1,1,BGM01561,1,26.13,26.74,1.83,37.28,8.526219
1,48,BGM0161,1,1,BGM01611,1,48.61,29.17,1.7,36.05,15.26354
1,49,BGM0162,1,1,BGM01621,1,20.83,18.23,2.15,36.9,6.717675
1,50,BGM0163,1,1,BGM01631,1,33.86,37.33,2.38,38.01,11.295696
1,51,BGM0164,1,1,BGM01641,1,33.42,27.78,1.83,38.27,11.235804
1,52,BGM0167,1,1,BGM01671,1,51.04,51.04,2.05,36.71,16.363424
1,53,BGM0212,1,1,BGM02121,1,23.44,14.93,2.1,32.67,6.567888
1,54,BGM0235,1,1,BGM02351,1,27.17,25.17,2.17,35.09,8.270548
1,55,BGM0257,1,1,BGM02571,1,33.06,8.33,1.47,37.39,10.823844
1,56,BGM0261,1,1,BGM02611,1,32.12,15.8,1.73,36.43,10.207736
1,57,BGM0289,1,1,BGM02891,1,46.88,24.31,1.77,36.9,15.1188
1,58,BGM0318,1,1,BGM03181,1,28.65,23.87,2.12,36.05,8.9961
1,59,BGM0388,1,1,BGM03881,1,31.34,12.41,1.23,36.12,9.862698
1,60,BGM0407,1,1,BGM04071,1,19.1,8.33,1.48,33.25,5.4626
1,61,BGM0413,1,1,BGM04131,1,16.06,11.72,1.48,35.75,4.99466
1,62,BGM0426,1,1,BGM04261,1,30.38,17.62,1.7,37.31,9.922108
1,63,BGM0461,1,1,BGM04611,1,11.11,15.63,1.77,36.17,3.501872
1,64,BGM0463,1,1,BGM04631,1,25,13.89,1.4,34.36,7.4275
1,65,BGM0472,1,1,BGM04721,1,37.33,17.36,1.95,41.13,13.617984
1,66,BGM0474,1,1,BGM04741,1,23,23.44,1.2,38.53,7.7924
1,67,BGM0537,1,1,BGM05371,1,7.81,5.64,1.17,32.67,2.188362
1,68,BGM0555,1,1,BGM05551,1,24.31,10.85,1.25,35.46,7.489911
1,69,BGM0570,1,1,BGM05701,1,21.44,15.63,1.38,35.09,6.526336
1,70,BGM0573,1,1,BGM05731,1,32.99,19.1,0.97,36.12,10.381953
1,71,BGM0576,1,1,BGM05761,1,12.59,25.17,1.73,36.31,3.985994
1,72,BGM0589,1,1,BGM05891,1,18.32,9.55,1.48,33.14,5.219368
1,73,BGM0650,1,1,BGM06501,1,34.72,18.66,1.25,37.63,11.450656
1,74,BGM0666,1,1,BGM06661,1,25.93,9.72,1.3,36.38,8.227589
1,75,BGM0671,1,1,BGM06711,1,15.19,10.85,1.17,35.73,4.721052
1,76,BGM0677,1,1,BGM06771,1,35,24.31,1.7,37.68,11.5605
1,77,BGM0679,1,1,BGM06791,1,13.89,10.85,1.75,36.41,4.411464
1,78,BGM0703,1,1,BGM07031,1,34.03,14.58,1.05,36.17,10.726256
1,79,BGM0806,1,1,BGM08061,1,13.89,15.63,1.42,36.9,4.479525
1,80,BGM0843,1,1,BGM08431,1,29.95,15.63,1.75,35.98,9.383335
1,81,BGM1153,1,1,BGM11531,1,55.1,18.47,2.17,37.14,17.90199
1,82,BGM1692,1,1,BGM16921,1,43.06,23.61,2.3,36.9,13.88685
1,83,BGM1728,1,1,BGM17281,1,37.07,14.1,2,34.21,10.957892
1,84,BRSCaip,1,1,BRSCaip1,1,37.68,16.16,2.1,37.39,12.336432
1,85,BRSForm,1,1,BRSForm1,1,17.82,0,1.65,35.95,5.57766
1,86,BRSGema,1,1,BRSGema1,1,53.47,48.61,2,39.15,18.44715
1,87,BRSKiri,1,1,BRSKiri1,1,38.63,13.98,1.97,33.65,11.2027
1,88,BRSNovo,1,1,BRSNovo1,1,52.99,38.89,2.15,38.1,17.725155
1,89,BRSTapi,1,1,BRSTapi1,1,46.01,39.93,2.6,36.5,14.654185
1,90,BRSVerd,1,1,BRSVerd1,1,38.2,23.61,1.75,34.71,11.48292
1,91,Corrente,1,1,Corrente1,1,37.27,14.69,2.38,37.44,12.220833
1,92,FBranca,1,1,FBranca1,1,17.62,4.34,1.27,31.13,4.665776
1,93,IAC90,1,1,IAC901,1,17.36,4.43,1.27,31.31,4.628176
1,94,OlhoJun,1,1,OlhoJun1,1,32.12,4.95,1.23,34,9.42722
1,95,962409,1,2,9624091,1,36.81,26.39,1.93,37.89,12.235644
1,96,BGM0020,1,2,BGM00201,1,19.79,14.32,1.7,33.72,5.752953
1,97,BGM0065,1,2,BGM00651,1,32.08,6.81,1.62,32.26,8.857288
1,98,BGM0087,1,2,BGM00871,1,34.03,12.96,1.18,33.8,9.919745
1,99,BGM0090,1,2,BGM00901,1,29.08,4.34,1.4,36.9,9.3783
1,100,BGM0116,1,2,BGM01161,1,53.47,24.31,1.78,37.79,17.719958
1,101,BGM0119,1,2,BGM01191,1,24.31,21.7,1.53,37.26,7.927491
1,102,BGM0168,1,2,BGM01681,1,38.89,31.6,1.62,37.28,12.689807
1,103,BGM0170,1,2,BGM01701,1,33.86,17.36,1.5,36.5,10.78441
1,104,BGM0171,1,2,BGM01711,1,26.22,29.52,1.98,37.12,8.513634
1,105,BGM0179,1,2,BGM01791,1,48.61,43.75,1.5,36.43,15.448258
1,106,BGM0185,1,2,BGM01851,1,89.94,51.04,2.18,36.9,29.00565
1,107,BGM0187,1,2,BGM01871,1,28.2,40.84,2.27,36.9,9.0945
1,108,BGM0199,1,2,BGM01991,1,2.43,12.15,2.13,36.9,0.783675
1,109,BGM0199,1,2,BGM01991,1,6.94,8.42,1.5,33.8,2.02301
1,110,BGM0202,1,2,BGM02021,1,39.93,20.83,2.07,33.05,11.34012
1,111,BGM0208,1,2,BGM02081,1,24.85,23.77,1.77,36.05,7.8029
1,112,BGM0210,1,2,BGM02101,1,23.87,23.44,1.77,35.75,7.42357
1,113,BGM0212,1,2,BGM02121,1,29.98,17.01,2.23,33.56,8.667218
1,114,BGM0213,1,2,BGM02131,1,22.57,26.91,1.9,34.98,6.845481
1,115,BGM0215,1,2,BGM02151,1,30.25,31.33,2.27,38.82,10.336425
1,116,BGM0216,1,2,BGM02161,1,38.2,45.84,1.93,36.9,12.3195
1,117,BGM0220,1,2,BGM02201,1,29.17,30.25,2.07,37.28,9.518171
1,118,BGM0226,1,2,BGM02261,1,18.66,13.46,1.6,40.15,6.6243
1,119,BGM0235,1,2,BGM02351,1,40.11,21.39,2.07,35.82,12.502287
1,120,BGM0236,1,2,BGM02361,1,63.2,36.46,2.1,34.55,18.8968
1,121,BGM0237,1,2,BGM02371,1,62.5,44.45,2.3,34.55,18.6875
1,122,BGM0238,1,2,BGM02381,1,58.34,38.89,2.7,36.05,18.31876
1,123,BGM0240,1,2,BGM02401,1,43.75,2.5,1.6,35.22,13.374375
1,124,BGM0247,1,2,BGM02471,1,22.69,24.85,1.9,36.12,7.140543
1,125,BGM0257,1,2,BGM02571,1,21.7,11.29,2.03,29.85,5.4684
1,126,BGM0260,1,2,BGM02601,1,8.33,4.86,1.55,36.9,2.686425
1,127,BGM0261,1,2,BGM02611,1,38.89,20.09,2.05,35.39,11.954786
1,128,BGM0264,1,2,BGM02641,1,35,31.6,2.45,34.21,10.346
1,129,BGM0269,1,2,BGM02691,1,23,20.83,1.87,34.9,6.9575
1,130,BGM0277,1,2,BGM02771,1,51.04,27.22,1.65,29.35,12.60688
1,131,BGM0281,1,2,BGM02811,1,18.47,11.67,1.9,33.56,5.339677
1,132,BGM0283,1,2,BGM02831,1,22.57,21.7,1.57,34.9,6.827425
1,133,BGM0286,1,2,BGM02861,1,37.27,26.74,2.38,31.29,9.928728
1,134,BGM0287,1,2,BGM02871,1,33.86,31.25,2.33,31.71,9.162516
1,135,BGM0288,1,2,BGM02881,1,16.2,25.93,1.77,31.42,4.33674
1,136,BGM0289,1,2,BGM02891,1,28.65,16.06,1.62,33.65,8.3085
1,137,BGM0290,1,2,BGM02901,1,28.21,18.66,1.8,38.1,9.436245
1,138,BGM0294,1,2,BGM02941,1,12.42,16.2,1.65,34.04,3.650238
1,139,BGM0298,1,2,BGM02981,1,26.13,24.31,1.52,34.55,7.81287
1,140,BGM0306,1,2,BGM03061,1,13.89,17.36,1.87,32.67,3.891978
1,141,BGM0308,1,2,BGM03081,1,15.63,11.29,1.4,34.76,4.706193
1,142,BGM0314,1,2,BGM03141,1,27.78,27.78,1.47,38.97,9.534096
1,143,BGM0318,1,2,BGM03181,1,24.31,16.53,2,32.67,6.811662
1,144,BGM0323,1,2,BGM03231,1,49.48,19.1,1.9,35.09,15.061712
1,145,BGM0324,1,2,BGM03241,1,45.7,53.47,1.85,33.19,13.04278
1,146,BGM0327,1,2,BGM03271,1,42.13,6.97,2.32,39.4,14.640175
1,147,BGM0336,1,2,BGM03361,1,22.85,24.31,2.3,30.15,5.82675
1,148,BGM0342,1,2,BGM03421,1,16.2,25.93,2.17,34.55,4.8438
1,149,BGM0345,1,2,BGM03451,1,24.31,21.7,1.7,37.28,7.932353
1,150,BGM0349,1,2,BGM03491,1,18.23,21.7,1.85,33.56,5.270293
1,151,BGM0352,1,2,BGM03521,1,33.06,15.56,1.75,26.33,7.167408
1,152,BGM0357,1,2,BGM03571,1,20.66,7.78,1.77,30.79,5.400524
1,153,BGM0358,1,2,BGM03581,1,36.46,38.89,1.97,37.31,11.907836
1,154,BGM0360,1,2,BGM03601,1,68.06,45.37,1.85,35.85,21.23472
1,155,BGM0364,1,2,BGM03641,1,32.25,22.69,2.33,28.06,7.549725
1,156,BGM0368,1,2,BGM03681,1,34.98,18.23,1.63,34.55,10.45902
1,157,BGM0369,1,2,BGM03691,1,28.03,19.45,2.12,33.56,8.103473
1,158,BGM0371,1,2,BGM03711,1,34.64,34.03,2,32.34,9.591816
1,159,BGM0420,1,2,BGM04201,1,11.81,7.64,1.47,31.71,3.195786
1,160,BGM0780,1,2,BGM07801,1,18.66,10.85,1.68,36.9,6.01785
1,161,BGM1153,1,2,BGM11531,1,36.46,24.31,1.3,34.55,10.90154
1,162,BGM1692,1,2,BGM16921,1,23,24.31,2.33,28.89,5.5752
1,163,BGM1728,1,2,BGM17281,1,33.34,16.67,1.85,32.95,9.43522
1,164,BRSCaip,1,2,BRSCaip1,1,57.12,27.95,2.18,35.75,17.76432
1,165,BRSKiri,1,2,BRSKiri1,1,68.15,19.1,2.17,36.43,21.65807
1,166,BRSNovo,1,2,BRSNovo1,1,61.25,41.32,2.13,38.58,20.782125
1,167,BRSTapi,1,2,BRSTapi1,1,47.22,41.67,2.67,35.39,14.515428
1,168,BRSVerd,1,2,BRSVerd1,1,35.42,21.53,1.67,35.75,11.01562
1,169,Corrente,1,2,Corrente1,1,46.18,24.31,2.35,36.7,14.80069
1,170,FBranca,1,2,FBranca1,1,16.49,7.81,1.37,30.79,4.310486
1,171,IAC90,1,2,IAC901,1,18.23,8.68,1.33,34.14,5.376027
1,172,OlhoJun,1,2,OlhoJun1,1,24.31,9.55,1.22,35.2,7.426705
1,173,962409,1,3,9624091,1,44.72,31.6,1.63,37.28,14.592136
1,174,BGM0116,1,3,BGM01161,1,42.13,37.27,2.1,34.73,12.672704
1,175,BGM0212,1,3,BGM02121,1,25,15.28,2.17,32.67,7.005
1,176,BGM0257,1,3,BGM02571,1,19.1,8.68,1.67,37.82,6.33547
1,177,BGM0386,1,3,BGM03861,1,22.92,41.67,2.13,36.12,7.212924
1,178,BGM0388,1,3,BGM03881,1,24.31,12.96,1.87,34.73,7.312448
1,179,BGM0389,1,3,BGM03891,1,39.17,34.03,2.27,31.13,10.372216
1,180,BGM0395,1,3,BGM03951,1,50.88,38.24,1.75,32.18,14.007264
1,181,BGM0396,1,3,BGM03961,1,18.23,20.83,2.02,33.75,5.30493
1,182,BGM0399,1,3,BGM03991,1,28.65,29.52,1.9,34,8.408775
1,183,BGM0400,1,3,BGM04001,1,29.17,25.28,2.13,35.75,9.07187
1,184,BGM0407,1,3,BGM04071,1,21.27,13.02,1.47,30.79,5.559978
1,185,BGM0408,1,3,BGM04081,1,29.17,21.07,1.28,41.91,10.868742
1,186,BGM0410,1,3,BGM04101,1,28.56,17.01,1.9,37.31,9.327696
1,187,BGM0411,1,3,BGM04111,1,11.88,10.8,1.38,35.75,3.69468
1,188,BGM0413,1,3,BGM04131,1,16.49,13.89,1.85,33.48,4.754067
1,189,BGM0414,1,3,BGM04141,1,36.46,22.57,2.23,33.38,10.474958
1,190,BGM0422,1,3,BGM04221,1,19.45,19.45,1.83,33.02,5.517965
1,191,BGM0424,1,3,BGM04241,1,7.81,29.08,1.97,34.36,2.320351
1,192,BGM0426,1,3,BGM04261,1,36.46,24.31,2,34.38,10.839558
1,193,BGM0427,1,3,BGM04271,1,32.41,37.27,2.53,37.89,10.773084
1,194,BGM0435,1,3,BGM04351,1,94.31,48.61,1.8,32.67,26.425662
1,195,BGM0439,1,3,BGM04391,1,21.39,20.9,2.4,35.42,6.581703
1,196,BGM0440,1,3,BGM04401,1,29.17,17.18,1.52,31.86,7.937157
1,197,BGM0442,1,3,BGM04421,1,39.41,28.65,2.2,33.41,11.334316
1,198,BGM0448,1,3,BGM04481,1,22.4,13.89,1.92,34.73,6.73792
1,199,BGM0461,1,3,BGM04611,1,9.55,17.97,1.7,32.67,2.67591
1,200,BGM0463,1,3,BGM04631,1,37.92,19.45,1.77,34.55,11.33808
1,201,BGM0467,1,3,BGM04671,1,29.17,17.5,2.1,38.82,9.967389
1,202,BGM0468,1,3,BGM04681,1,15.8,34.03,2.13,42.82,6.03086
1,203,BGM0470,1,3,BGM04701,1,30.14,34.03,2.07,41.2,11.01617
1,204,BGM0471,1,3,BGM04711,1,18.23,11.29,1.47,38.75,6.21643
1,205,BGM0472,1,3,BGM04721,1,43.75,29.17,2.3,37.28,14.275625
1,206,BGM0474,1,3,BGM04741,1,29.36,22.36,1.28,36.5,9.35116
1,207,BGM0475,1,3,BGM04751,1,40.06,25.28,1.98,34.21,11.841736
1,208,BGM0478,1,3,BGM04781,1,31.6,36.46,2.3,32.67,8.85432
1,209,BGM0484,1,3,BGM04841,1,52.93,17.72,2.23,35.75,16.46123
1,210,BGM0489,1,3,BGM04891,1,20.83,18.66,1.8,34.39,6.194842
1,211,BGM0495,1,3,BGM04951,1,5.99,18.23,1.78,36.05,1.88086
1,212,BGM0498,1,3,BGM04981,1,35,19.45,2.1,32.2,9.6425
1,213,BGM0500,1,3,BGM05001,1,50.56,29.17,1.65,34.21,14.945536
1,214,BGM0505,1,3,BGM05051,1,12.15,19.45,1.95,36.05,3.8151
1,215,BGM0508,1,3,BGM05081,1,3.99,9.12,1.12,29.85,1.00548
1,216,BGM0510,1,3,BGM05101,1,21.53,30.56,2.08,33.65,6.2437
1,217,BGM0514,1,3,BGM05141,1,36.46,24.31,2.4,33.41,10.485896
1,218,BGM0517,1,3,BGM05171,1,9.24,9.48,1.63,32.26,2.551164
1,219,BGM0523,1,3,BGM05231,1,15.56,14.58,1.3,31.61,4.194976
1,220,BGM0527,1,3,BGM05271,1,30.79,14.58,2.33,34.9,9.313975
1,221,BGM0529,1,3,BGM05291,1,17.28,12.59,2.23,32.67,4.841856
1,222,BGM0537,1,3,BGM05371,1,14.04,9.18,2.03,32.18,3.865212
1,223,BGM0549,1,3,BGM05491,1,36.46,53.47,2.6,35.66,11.306246
1,224,BGM0551,1,3,BGM05511,1,23.09,31.6,2.2,34.9,6.984725
1,225,BGM0555,1,3,BGM05551,1,32.55,19.97,1.78,35.04,9.891945
1,226,BGM0557,1,3,BGM05571,1,20.83,13.02,1.85,36.9,6.717675
1,227,BGM0560,1,3,BGM05601,1,26.13,14.76,1.73,32.34,7.235397
1,228,BGM0570,1,3,BGM05701,1,30.56,19.97,1.7,33.48,8.810448
1,229,BGM0573,1,3,BGM05731,1,40.37,22.14,1.87,35.66,12.518737
1,230,BGM0576,1,3,BGM05761,1,19.19,21.7,2.17,39.68,6.722257
1,231,BGM0780,1,3,BGM07801,1,17.6,15.95,1.7,36.9,5.676
1,232,BGM1153,1,3,BGM11531,1,34.17,26.39,1.92,36.9,11.019825
1,233,BGM1692,1,3,BGM16921,1,25.61,16.49,2.23,34.38,7.613853
1,234,BGM1728,1,3,BGM17281,1,53.47,22.69,2.33,35.27,16.372514
1,235,BRSCaip,1,3,BRSCaip1,1,45.37,26.25,1.83,35.66,14.069237
1,236,BRSKiri,1,3,BRSKiri1,1,68.58,21.53,2.2,35.46,21.129498
1,237,BRSNovo,1,3,BRSNovo1,1,57.95,35.97,2.02,39.5,20.195575
1,238,BRSTapi,1,3,BRSTapi1,1,40.8,31.25,2.52,33.02,11.57496
1,239,BRSVerd,1,3,BRSVerd1,1,38.89,23.5,1.72,36.17,12.258128
1,240,Corrente,1,3,Corrente1,1,52.66,32.41,2.02,36.7,16.87753
1,241,FBranca,1,3,FBranca1,1,23.87,7.47,1.38,32.02,6.533219
1,242,IAC90,1,3,IAC901,1,32.99,13.02,1.77,35.2,10.078445
1,243,OlhoJun,1,3,OlhoJun1,1,16.06,8.25,1.12,35.04,4.880634
1,244,962409,1,4,9624091,1,59.5,25.28,1.83,39.25,20.587
1,245,BGM0212,1,4,BGM02121,1,18.47,15.8,1.88,34.55,5.52253
1,246,BGM0579,1,4,BGM05791,1,21.27,23.09,2.13,36.05,6.67878
1,247,BGM0589,1,4,BGM05891,1,22.05,11.29,1.4,35.93,6.89724
1,248,BGM0593,1,4,BGM05931,1,4.86,6.48,1.73,44.38,1.930878
1,249,BGM0603,1,4,BGM06031,1,51.53,38.89,1.92,36.26,16.288633
1,250,BGM0606,1,4,BGM06061,1,38.89,18.06,1.72,35.22,11.888673
1,251,BGM0614,1,4,BGM06141,1,8.75,32.41,2,37.75,2.89625
1,252,BGM0615,1,4,BGM06151,1,21.7,21.36,1.85,35.66,6.72917
1,253,BGM0618,1,4,BGM06181,1,48.61,29.17,1.5,37.31,15.876026
1,254,BGM0646,1,4,BGM06461,1,35.97,34.03,2.1,32.67,10.078794
1,255,BGM0648,1,4,BGM06481,1,23.33,9.72,1.63,34.36,6.931343
1,256,BGM0650,1,4,BGM06501,1,25.39,12.96,1.95,34.74,7.639851
1,257,BGM0651,1,4,BGM06511,1,24.31,28.65,1.97,35.49,7.497204
1,258,BGM0657,1,4,BGM06571,1,25.52,17.01,1.75,35.75,7.93672
1,259,BGM0660,1,4,BGM06601,1,29.43,32.12,2.17,37.53,9.676584
1,260,BGM0665,1,4,BGM06651,1,20.66,22.48,2.33,37.31,6.747556
1,261,BGM0666,1,4,BGM06661,1,24.31,7.29,1.25,39.92,8.574137
1,262,BGM0671,1,4,BGM06711,1,11.29,4.34,2.02,31.99,3.086686
1,263,BGM0677,1,4,BGM06771,1,20.42,22.69,1.85,37.12,6.630374
1,264,BGM0678,1,4,BGM06781,1,35.28,20.83,1.48,39.92,12.443256
1,265,BGM0679,1,4,BGM06791,1,18.15,11.88,1.87,40.63,6.53037
1,266,BGM0680,1,4,BGM06801,1,11.08,25.28,1.67,39.92,3.907916
1,267,BGM0682,1,4,BGM06821,1,38.89,17.01,1.68,39.92,13.716503
1,268,BGM0685,1,4,BGM06851,1,10.69,19.45,1.55,40.95,3.88047
1,269,BGM0693,1,4,BGM06931,1,57.64,40.28,1.82,36.12,18.139308
1,270,BGM0703,1,4,BGM07031,1,24.14,19.45,1.77,35.39,7.420636
1,271,BGM0711,1,4,BGM07111,1,60.28,63.2,2.25,38.01,20.109408
1,272,BGM0714,1,4,BGM07141,1,37.81,23.77,2.05,36.47,12.031142
1,273,BGM0715,1,4,BGM07151,1,18.28,35,2.4,36.5,5.82218
1,274,BGM0717,1,4,BGM07171,1,62.81,46.67,2.27,40.15,22.29755
1,275,BGM0718,1,4,BGM07181,1,56.39,48.61,2.53,34.9,17.057975
1,276,BGM0726,1,4,BGM07261,1,4.86,9.72,2.15,18.83,0.689148
1,277,BGM0729,1,4,BGM07291,1,15.56,19.45,2.4,36.9,5.0181
1,278,BGM0780,1,4,BGM07801,1,25.52,17.01,1.93,37.28,8.327176
1,279,BGM0781,1,4,BGM07811,1,25.77,27.55,1.88,39.69,9.029808
1,280,BGM0806,1,4,BGM08061,1,25.17,19.1,1.97,36.12,7.920999
1,281,BGM0809,1,4,BGM08091,1,23.17,17.82,1.7,36.12,7.291599
1,282,BGM0812,1,4,BGM08121,1,94.31,48.61,1.95,36.17,29.726512
1,283,BGM0813,1,4,BGM08131,1,40.11,36.46,2.1,39.25,13.87806
1,284,BGM0816,1,4,BGM08161,1,56.88,29.17,2.18,33.65,16.4952
1,285,BGM0858,1,4,BGM08581,1,35,8.75,1.55,36.17,11.032
1,286,BGM0859,1,4,BGM08591,1,17.36,13.98,1.4,36.12,5.463192
1,287,BGM0898,1,4,BGM08981,1,23.87,19.97,1.82,35.75,7.42357
1,288,BGM0903,1,4,BGM09031,1,13.02,3.73,1.63,37.76,4.310922
1,289,BGM0925,1,4,BGM09251,1,25.17,47.75,1.77,38.4,8.494875
1,290,BGM0946,1,4,BGM09461,1,29.6,8.68,1.68,34.21,8.74976
1,291,BGM0948,1,4,BGM09481,1,29.95,16.49,1.97,39.47,10.42859
1,292,BGM0954,1,4,BGM09541,1,4.43,7.81,1.45,38.56,1.502213
1,293,BGM0959,1,4,BGM09591,1,23.44,6.08,0.98,32.67,6.567888
1,294,BGM0960,1,4,BGM09601,1,3.06,14.58,1.43,32.67,0.857412
1,295,BGM0961,1,4,BGM09611,1,19.45,11.99,2.05,32.67,5.44989
1,296,BGM0962,1,4,BGM09621,1,21.27,13.54,1.32,34.1,6.264015
1,297,BGM0973,1,4,BGM09731,1,19.97,14.58,1.7,36.35,6.33049
1,298,BGM1153,1,4,BGM11531,1,42.29,26.74,1.98,36.26,13.367869
1,299,BGM1692,1,4,BGM16921,1,34.64,30.38,2.1,31.13,9.172672
1,300,BGM1728,1,4,BGM17281,1,47.16,19.45,2.18,40.15,16.7418
1,301,BRSCaip,1,4,BRSCaip1,1,46.47,27.22,1.83,36.47,14.786754
1,302,BRSKiri,1,4,BRSKiri1,1,40.8,21.27,2.3,37.65,13.464
1,303,BRSNovo,1,4,BRSNovo1,1,44.36,29.56,2.19,36.59,14.168584
1,304,BRSTapi,1,4,BRSTapi1,1,53.47,34.03,2.5,36.86,17.222687
1,305,BRSVerd,1,4,BRSVerd1,1,28.39,19.97,1.57,37.75,9.39709
1,306,Corrente,1,4,Corrente1,1,33.06,33.06,2.37,38.97,11.346192
1,307,FBranca,1,4,FBranca1,1,17.36,6.08,1.33,32.67,4.864272
1,308,IAC90,1,4,IAC901,1,23.27,9.98,1.9,32.67,6.520254
1,309,OlhoJun,1,4,OlhoJun1,1,15.19,8.68,1.37,36.05,4.76966
1,310,962409,1,5,9624091,1,59.5,30.92,2.03,36.12,18.72465
1,311,BGM0212,1,5,BGM02121,1,16.29,12.15,1.77,35.49,5.023836
1,312,BGM0843,1,5,BGM08431,1,35.33,24.31,2.7,37.89,11.743692
1,313,BGM0846,1,5,BGM08461,1,18.47,48.61,1.7,30.68,4.807741
1,314,BGM0849,1,5,BGM08491,1,39.86,11.67,1.88,30.62,10.351642
1,315,BGM0851,1,5,BGM08511,1,17.28,15.12,1.65,29.59,4.309632
1,316,BGM0857,1,5,BGM08571,1,21.88,42.54,2.27,36.47,6.962216
1,317,BGM0858,1,5,BGM08581,1,29.17,14.58,1.7,34.55,8.72183
1,318,BGM0859,1,5,BGM08591,1,27.55,20.74,2.03,38.75,9.39455
1,319,BGM0873,1,5,BGM08731,1,15.37,13.89,2.17,38.97,5.274984
1,320,BGM0875,1,5,BGM08751,1,19.1,17.36,2.08,39.53,6.66208
1,321,BGM0877,1,5,BGM08771,1,42.1,41.67,2.07,39.03,14.47398
1,322,BGM0882,1,5,BGM08821,1,23.17,11.34,2.07,34.36,6.883807
1,323,BGM0886,1,5,BGM08861,1,12.64,9.72,1.9,34.55,3.77936
1,324,BGM0898,1,5,BGM08981,1,37.68,25.52,1.6,34.36,11.194728
